Date,Price,Open,High,Low,Vol.,Change %
12/1/2017,"26,202","26,287","26,371","26,159",1.57M,0.16%
12/4/2017,"26,117","26,329","26,329","26,117",1.84M,-0.32%
12/5/2017,"26,032","26,244","26,329","25,989",1.36M,-0.33%
12/6/2017,"25,947","26,159","26,159","25,947",1.37M,-0.33%
12/7/2017,"26,117","26,074","26,499","25,947",3.05M,0.66%
12/8/2017,"26,456","26,244","26,584","26,202",2.82M,1.30%
12/11/2017,"26,117","26,499","26,499","26,074",3.03M,-1.28%
12/12/2017,"26,541","26,117","26,541","25,904",1.58M,1.62%
12/13/2017,"26,456","26,541","26,541","26,159",1.44M,-0.32%
12/14/2017,"26,159","26,456","26,456","25,989",1.49M,-1.12%
12/15/2017,"26,287","26,159","26,414","26,159",3.81M,0.49%
12/18/2017,"26,159","26,329","26,499","26,159",1.05M,-0.49%
12/19/2017,"26,117","26,287","26,499","26,117",1.54M,-0.16%
12/20/2017,"26,117","26,117","26,244","26,032",1.05M,0.00%
12/21/2017,"26,074","26,159","26,287","26,074",827.63K,-0.16%
12/22/2017,"26,117","25,904","26,117","25,904",1.72M,0.16%
12/25/2017,"26,159","26,117","26,159","25,904",482.67K,0.16%
12/26/2017,"26,244","26,159","26,371","26,117",434.65K,0.32%
12/27/2017,"26,541","26,244","26,541","26,159",513.68K,1.13%
12/28/2017,"26,881","26,541","27,093","26,541",784.16K,1.28%
12/29/2017,"27,645","27,008","28,240","26,924",1.33M,2.84%
1/2/2018,"27,815","27,645","27,900","27,645",837.75K,0.61%
1/3/2018,"28,410","27,815","28,452","27,815",2.08M,2.14%
1/4/2018,"28,707","28,410","28,750","28,028",2.66M,1.05%
1/5/2018,"28,962","28,622","29,047","28,452",2.55M,0.89%
1/8/2018,"29,556","28,877","29,641","28,877",2.72M,2.05%
1/9/2018,"30,576","29,429","30,915","29,429",3.73M,3.45%
1/10/2018,"31,000","30,448","31,425","30,406",4.21M,1.39%
1/11/2018,"31,850","31,213","32,147","31,000",3.31M,2.74%
1/12/2018,"32,147","32,147","32,317","31,892",3.61M,0.93%
1/15/2018,"33,124","32,274","33,124","32,062",3.83M,3.04%
1/16/2018,"33,081","33,124","33,803","32,274",3.87M,-0.13%
1/17/2018,"33,081","33,336","33,506","32,317",4.69M,0.00%
1/18/2018,"33,336","33,378","33,421","32,062",4.99M,0.77%
1/19/2018,"34,228","33,506","34,228","33,293",4.96M,2.68%
1/22/2018,"35,502","34,355","35,502","34,228",5.11M,3.72%
1/25/2018,"35,926","35,756","36,351","35,714",5.55M,1.19%
1/26/2018,"35,884","35,841","36,096","35,672",5.78M,-0.12%
1/29/2018,"34,398","35,714","36,054","34,313",5.91M,-4.14%
1/30/2018,"33,973","34,143","34,398","33,081",5.25M,-1.24%
1/31/2018,"34,100","33,761","34,270","33,548",5.63M,0.37%
2/1/2018,"34,143","33,930","34,228","33,930",5.62M,0.13%
2/2/2018,"34,610","33,973","34,737","33,930",6.51M,1.37%
2/5/2018,"34,652","34,398","34,780","34,398",6.46M,0.12%
2/6/2018,"34,737","34,355","35,035","34,270",4.13M,0.25%
2/7/2018,"34,270","34,737","34,950","34,143",6.87M,-1.34%
2/8/2018,"33,973","34,058","34,270","33,930",5.68M,-0.87%
2/9/2018,"33,973","33,761","33,973","33,548",5.62M,0.00%
2/12/2018,"33,548","33,845","33,973","33,336",5.60M,-1.25%
2/13/2018,"33,973","33,336","33,973","33,336",5.91M,1.27%
2/21/2018,"34,143","34,015","34,228","33,973",6.54M,0.50%
2/22/2018,"34,270","33,973","34,440","33,973",7.10M,0.37%
2/23/2018,"34,822","34,100","34,822","34,100",7.50M,1.61%
2/26/2018,"35,119","34,780","35,289","34,780",7.02M,0.85%
2/27/2018,"35,756","35,035","35,841","35,035",7.80M,1.81%
2/28/2018,"36,436","35,672","36,861","35,672",8.54M,1.90%
3/1/2018,"37,498","36,181","37,498","36,181",8.39M,2.91%
3/2/2018,"36,436","37,498","37,498","36,436",6.18M,-2.83%
3/5/2018,"34,398","36,309","36,436","34,398",6.33M,-5.59%
3/6/2018,"33,591","33,761","34,398","33,591",6.37M,-2.35%
3/7/2018,"33,633","33,421","33,761","33,293",3.63M,0.13%
3/8/2018,"34,143","33,506","34,652","33,506",6.54M,1.52%
3/9/2018,"34,228","33,930","34,482","33,930",7.17M,0.25%
3/12/2018,"33,845","33,973","34,313","33,845",8.67M,-1.12%
3/13/2018,"33,463","33,548","33,845","33,463",6.69M,-1.13%
3/14/2018,"33,506","33,378","33,548","33,378",7.87M,0.13%
3/15/2018,"33,506","33,378","33,591","33,378",8.17M,0.00%
3/16/2018,"33,506","33,421","33,633","33,421",8.82M,0.00%
3/19/2018,"35,799","33,548","35,799","33,506",6.20M,6.84%
3/20/2018,"35,247","35,756","37,795","35,247",6.23M,-1.54%
3/21/2018,"34,610","34,822","35,459","34,610",6.65M,-1.81%
3/22/2018,"35,077","34,610","35,289","34,567",7.91M,1.35%
3/23/2018,"33,761","34,822","34,822","33,676",6.08M,-3.75%
3/26/2018,"33,803","33,761","34,398","33,676",7.47M,0.12%
