Date,Price,Open,High,Low,Vol.,Change %
9/28/2017,"11,812.40","12,446.30","12,561.50","11,639.60",15.65M,-5.53%
9/29/2017,"12,100.60","11,870.10","12,100.60","11,726.00",5.52M,2.44%
10/2/2017,"11,639.60","11,985.30","12,100.60","11,582.00",6.51M,-3.81%
10/3/2017,"11,380.30","11,524.30","11,639.60","11,236.20",9.01M,-2.23%
10/4/2017,"11,812.40","11,380.30","11,812.40","11,380.30",4.08M,3.80%
10/5/2017,"11,697.20","11,927.70","12,014.10","11,697.20",4.37M,-0.98%
10/6/2017,"11,697.20","11,668.40","11,783.60","11,668.40",2.49M,0.00%
10/9/2017,"11,870.10","11,697.20","11,870.10","11,697.20",4.52M,1.48%
10/10/2017,"12,187.00","11,927.70","12,244.60","11,870.10",8.25M,2.67%
10/11/2017,"12,100.60","12,215.80","12,359.90","12,014.10",5.11M,-0.71%
10/12/2017,"11,927.70","12,100.60","12,158.20","11,870.10",5.13M,-1.43%
10/13/2017,"12,158.20","11,927.70","12,158.20","11,783.60",7.05M,1.93%
10/16/2017,"11,985.30","12,158.20","12,302.20","11,985.30",4.11M,-1.42%
10/17/2017,"12,100.60","11,985.30","12,100.60","11,870.10",4.10M,0.96%
10/18/2017,"11,870.10","12,215.80","12,302.20","11,870.10",12.67M,-1.90%
10/19/2017,"11,610.80","11,927.70","11,956.50","11,610.80",6.54M,-2.18%
10/20/2017,"11,380.30","11,639.60","11,754.80","11,236.20",8.34M,-1.99%
10/23/2017,"11,063.40","11,322.70","11,437.90","11,005.70",7.01M,-2.78%
10/24/2017,"10,948.10","11,121.00","11,178.60","10,890.50",8.47M,-1.04%
10/25/2017,"11,265.00","11,063.40","11,293.90","11,005.70",3.68M,2.89%
10/26/2017,"11,034.60","11,322.70","11,322.70","10,890.50",4.37M,-2.05%
10/27/2017,"11,121.00","11,005.70","11,121.00","10,976.90",4.31M,0.78%
10/30/2017,"10,400.70","11,207.40","11,236.20","10,400.70",8.58M,-6.48%
10/31/2017,"10,799.70","10,588.00","10,951.00","10,346.00",6.17M,3.84%
11/1/2017,"10,436.70","10,890.50","10,890.50","10,436.70",3.52M,-3.36%
11/2/2017,"9,983.00","10,225.00","10,588.00","9,952.70",7.44M,-4.35%
11/3/2017,"10,648.50","10,013.20","10,648.50","10,013.20",6.45M,6.67%
11/6/2017,"10,890.50","10,769.50","11,011.50","10,769.50",5.43M,2.27%
11/7/2017,"10,739.20","10,890.50","10,951.00","10,709.00",5.02M,-1.39%
11/8/2017,"11,314.00","10,709.00","11,314.00","10,709.00",7.91M,5.35%
11/9/2017,"11,162.80","11,314.00","11,495.50","11,132.50",6.20M,-1.34%
11/10/2017,"11,162.80","11,132.50","11,314.00","11,072.00",4.10M,0.00%
11/13/2017,"10,890.50","11,162.80","11,162.80","10,890.50",3.34M,-2.44%
11/14/2017,"10,981.30","10,830.00","11,132.50","10,830.00",4.67M,0.83%
11/15/2017,"11,223.30","10,981.30","11,435.00","10,981.30",4.74M,2.20%
11/16/2017,"11,283.80","11,314.00","11,435.00","11,223.30",3.41M,0.54%
11/17/2017,"11,193.00","11,314.00","11,344.30","11,162.80",4.24M,-0.80%
11/20/2017,"11,132.50","11,193.00","11,314.00","11,072.00",3.00M,-0.54%
11/21/2017,"10,951.00","11,162.80","11,283.80","10,951.00",5.98M,-1.63%
11/22/2017,"11,011.50","10,951.00","11,102.30","10,920.80",2.95M,0.55%
11/23/2017,"11,193.00","11,072.00","11,435.00","10,981.30",6.71M,1.65%
11/24/2017,"11,949.30","11,193.00","11,949.30","11,193.00",11.80M,6.76%
11/27/2017,"12,130.80","12,191.30","12,282.10","11,979.50",7.26M,1.52%
11/28/2017,"11,979.50","12,040.10","12,100.60","11,828.30",6.07M,-1.25%
11/29/2017,"12,130.80","11,919.00","12,251.80","11,767.80",6.65M,1.26%
11/30/2017,"11,919.00","12,161.10","12,251.80","11,919.00",5.29M,-1.75%
12/1/2017,"12,251.80","11,949.30","12,403.10","11,919.00",8.61M,2.79%
12/4/2017,"12,705.60","12,463.60","12,705.60","12,282.10",9.42M,3.70%
