Date,Price,Open,High,Low,Vol.,Change %
6/2/2017,"12,956.20","12,817.80","13,002.30","12,771.70",480.62K,1.08%
6/5/2017,"13,325.00","13,048.40","13,417.20","13,048.40",538.77K,2.85%
6/6/2017,"13,163.70","13,371.10","13,371.10","13,140.60",125.85K,-1.21%
6/7/2017,"13,140.60","13,140.60","13,186.70","13,094.50",612.00K,-0.18%
6/8/2017,"13,094.50","13,094.50","13,140.60","12,910.10",309.60K,-0.35%
6/9/2017,"13,094.50","13,140.60","13,140.60","12,956.20",133.02K,0.00%
6/12/2017,"13,071.40","13,094.50","13,094.50","12,910.10",248.68K,-0.18%
6/13/2017,"12,910.10","12,956.20","13,071.40","12,910.10",204.61K,-1.23%
6/14/2017,"12,679.50","12,910.10","13,002.30","12,679.50",307.51K,-1.79%
6/15/2017,"12,817.80","12,771.70","12,817.80","12,679.50",328.54K,1.09%
6/16/2017,"12,864.00","12,817.80","12,910.10","12,771.70",141.28K,0.36%
6/19/2017,"12,910.10","12,910.10","13,094.50","12,864.00",258.18K,0.36%
6/20/2017,"12,910.10","12,910.10","13,002.30","12,910.10",180.12K,0.00%
6/21/2017,"12,910.10","12,910.10","12,956.20","12,887.00",157.44K,0.00%
6/22/2017,"12,864.00","12,910.10","12,956.20","12,864.00",165.53K,-0.36%
6/23/2017,"13,140.60","12,864.00","13,278.90","12,817.80",430.58K,2.15%
6/26/2017,"12,956.20","13,140.60","13,232.80","12,910.10",166.26K,-1.40%
6/27/2017,"12,910.10","12,956.20","13,002.30","12,817.80",182.92K,-0.36%
6/28/2017,"12,910.10","12,910.10","12,956.20","12,817.80",116.62K,0.00%
6/29/2017,"12,817.80","12,864.00","12,910.10","12,817.80",185.85K,-0.71%
6/30/2017,"12,840.90","12,771.70","12,956.20","12,771.70",254.81K,0.18%
7/3/2017,"12,840.90","12,840.90","12,910.10","12,840.90",112.09K,0.00%
7/4/2017,"12,864.00","12,864.00","12,864.00","12,840.90",121.47K,0.18%
7/5/2017,"12,910.10","12,864.00","12,933.10","12,864.00",126.07K,0.36%
7/6/2017,"13,002.30","12,910.10","13,002.30","12,840.90",300.20K,0.71%
7/7/2017,"13,025.30","13,002.30","13,048.40","13,002.30",162.33K,0.18%
7/10/2017,"13,002.30","13,002.30","13,025.30","12,933.10",136.39K,-0.18%
7/11/2017,"13,002.30","13,002.30","13,025.30","12,910.10",229.83K,0.00%
7/12/2017,"13,463.40","13,002.30","13,463.40","12,979.20",1.06M,3.55%
7/13/2017,"13,509.50","13,555.60","13,578.60","13,463.40",328.46K,0.34%
7/14/2017,"13,325.00","13,371.10","13,463.40","13,048.40",259.94K,-1.37%
7/17/2017,"13,094.50","13,325.00","13,325.00","13,048.40",146.61K,-1.73%
7/18/2017,"12,979.20","13,048.40","13,094.50","12,956.20",185.65K,-0.88%
7/19/2017,"13,002.30","13,048.40","13,117.50","12,956.20",330.91K,0.18%
7/20/2017,"13,002.30","13,048.40","13,048.40","12,910.10",98.75K,0.00%
7/21/2017,"12,979.20","13,002.30","13,048.40","12,979.20",94.63K,-0.18%
7/24/2017,"13,048.40","12,979.20","13,094.50","12,956.20",229.37K,0.53%
7/25/2017,"12,933.10","13,048.40","13,048.40","12,910.10",109.91K,-0.88%
7/26/2017,"12,725.60","12,679.50","12,910.10","12,679.50",232.80K,-1.60%
7/27/2017,"12,817.80","12,725.60","12,817.80","12,679.50",126.97K,0.72%
7/28/2017,"12,910.10","12,910.10","12,910.10","12,864.00",101.54K,0.72%
7/31/2017,"12,910.10","12,910.10","12,910.10","12,864.00",132.02K,0.00%
8/1/2017,"13,002.30","12,910.10","13,140.60","12,864.00",275.40K,0.71%
8/2/2017,"13,002.30","12,956.20","13,002.30","12,910.10",100.71K,0.00%
8/3/2017,"13,163.70","13,002.30","13,163.70","13,002.30",279.27K,1.24%
8/4/2017,"13,117.50","13,140.60","13,140.60","13,048.40",118.54K,-0.35%
8/7/2017,"13,186.70","13,117.50","13,371.10","12,956.20",312.20K,0.53%
8/8/2017,"13,002.30","13,186.70","13,186.70","12,979.20",183.28K,-1.40%
8/9/2017,"13,048.40","13,002.30","13,071.40","12,956.20",88.46K,0.35%
